epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,42.1576,0.742,1.19699,1.28526,0.94373,0.3879,0.42425,0.30271,1.79084,2.48326,1.55288,2.11444e-05,2.11444e-05,2.11444e-05
80,42.6299,0.57325,0.6899,1.09103,0.94373,0.3879,0.42425,0.30271,1.79084,2.48326,1.55288,2.04848e-05,2.04848e-05,2.04848e-05
81,43.1263,0.70012,0.72963,1.1079,0.9435,0.38505,0.42667,0.30102,1.80101,2.50341,1.54528,1.98016e-05,1.98016e-05,1.98016e-05
82,43.6043,0.38662,0.42792,0.91048,0.9435,0.38505,0.42667,0.30102,1.80101,2.50341,1.54528,1.90949e-05,1.90949e-05,1.90949e-05
83,44.073,0.6724,0.64791,1.05942,0.9435,0.38505,0.42667,0.30102,1.80101,2.50341,1.54528,1.83646e-05,1.83646e-05,1.83646e-05
84,44.5765,0.87932,1.39722,1.30551,0.94143,0.38606,0.42675,0.2872,1.79898,2.47713,1.51574,1.76107e-05,1.76107e-05,1.76107e-05
85,45.0848,0.59611,0.77253,1.14413,0.94143,0.38606,0.42675,0.2872,1.79898,2.47713,1.51574,1.68333e-05,1.68333e-05,1.68333e-05
86,45.5669,0.66258,0.814,1.18124,0.94143,0.38606,0.42675,0.2872,1.79898,2.47713,1.51574,1.60323e-05,1.60323e-05,1.60323e-05
87,46.0425,0.51228,0.59861,1.0374,0.94143,0.38606,0.42675,0.2872,1.79898,2.47713,1.51574,1.52077e-05,1.52077e-05,1.52077e-05
88,46.5414,0.60228,0.95242,1.06667,0.94121,0.3896,0.42768,0.287,1.82746,2.46938,1.56683,1.43596e-05,1.43596e-05,1.43596e-05
89,47.0236,0.66791,0.59742,1.14111,0.94121,0.3896,0.42768,0.287,1.82746,2.46938,1.56683,1.34879e-05,1.34879e-05,1.34879e-05
90,47.4965,0.84351,0.67268,1.09546,0.94121,0.3896,0.42768,0.287,1.82746,2.46938,1.56683,1.25927e-05,1.25927e-05,1.25927e-05
91,48.3721,0.60733,0.54331,1.08925,0.94121,0.3896,0.42768,0.287,1.82746,2.46938,1.56683,1.16739e-05,1.16739e-05,1.16739e-05
92,48.9547,0.40621,0.48054,0.87886,0.94282,0.38726,0.43016,0.28818,1.8212,2.44352,1.53937,1.07315e-05,1.07315e-05,1.07315e-05
93,49.4713,0.39908,0.47593,0.93122,0.94282,0.38726,0.43016,0.28818,1.8212,2.44352,1.53937,9.76562e-06,9.76562e-06,9.76562e-06
94,49.9667,0.59329,0.53583,1.07791,0.94282,0.38726,0.43016,0.28818,1.8212,2.44352,1.53937,8.77613e-06,8.77613e-06,8.77613e-06
95,50.4749,0.59623,0.58658,1.05694,0.94282,0.38726,0.43016,0.28818,1.8212,2.44352,1.53937,7.76308e-06,7.76308e-06,7.76308e-06
96,50.9886,0.63784,0.68381,1.21195,0.93837,0.38785,0.42802,0.28595,1.87637,2.54557,1.61942,6.72648e-06,6.72648e-06,6.72648e-06
97,51.5369,0.62991,0.56465,0.9513,0.93837,0.38785,0.42802,0.28595,1.87637,2.54557,1.61942,5.6663e-06,5.6663e-06,5.6663e-06
98,52.0288,0.51545,0.50708,1.00129,0.93837,0.38785,0.42802,0.28595,1.87637,2.54557,1.61942,4.58257e-06,4.58257e-06,4.58257e-06
99,52.5242,0.51943,0.50047,1.04711,0.93837,0.38785,0.42802,0.28595,1.87637,2.54557,1.61942,3.47528e-06,3.47528e-06,3.47528e-06
100,53.073,0.47145,0.46486,0.9743,0.9384,0.38938,0.42877,0.28381,1.86381,2.51323,1.57866,2.34442e-06,2.34442e-06,2.34442e-06
